Model,NumCtx,NumPredict,Latency(s),CPU(%),RAM(%),Tokens/sec,EfficiencyScore,Mode
llama3.2:latest,4096,1000,14.72,2.9,63.0,10.74,2.75,Unoptimized
llama3.2:latest,4096,1000,19.09,13.0,79.2,14.2,1.01,Unoptimized
llama3.2:latest,4096,1000,22.96,11.8,76.1,14.29,1.11,Unoptimized
phi3:mini,256,200,17.0,17.4,76.6,9.06,7.87,Optimized
phi3:mini,256,200,17.52,14.3,84.7,11.42,11.94,Optimized
phi3:mini,256,200,17.86,15.1,84.5,11.2,11.13,Optimized
llama3.2:latest,4096,1000,18.19,3.8,65.2,8.41,1.75,Unoptimized
llama3.2:latest,4096,1000,18.9,20.6,76.8,12.81,0.59,Unoptimized
llama3.2:latest,4096,1000,24.51,5.9,76.6,13.1,1.9,Unoptimized
phi3:latest,128,200,24.63,14.7,77.2,8.12,16.55,Optimized
phi3:latest,128,200,19.05,10.9,88.7,10.5,28.23,Optimized
phi3:latest,128,200,18.71,3.5,88.2,10.69,76.01,Optimized
llama3.2:latest,4096,1000,13.53,7.4,87.9,12.42,1.48,Unoptimized
llama3.2:latest,4096,1000,17.62,13.9,87.9,13.06,0.88,Unoptimized
llama3.2:latest,4096,1000,25.17,7.4,88.5,13.15,1.57,Unoptimized
llama3.2:latest,128,200,16.96,26.0,89.1,7.02,8.32,Optimized
llama3.2:latest,128,200,16.54,19.4,84.1,12.09,18.97,Optimized
llama3.2:latest,128,200,16.74,8.3,84.4,11.95,41.11,Optimized
llama3.2:latest,4096,1000,18.44,13.8,85.2,9.98,0.67,Unoptimized
llama3.2:latest,4096,1000,19.94,9.4,87.8,12.13,1.17,Unoptimized
llama3.2:latest,4096,1000,26.94,16.9,85.9,12.84,0.72,Unoptimized
llama3.2:latest,128,50,9.55,17.6,71.9,5.24,9.01,Optimized
llama3.2:latest,512,150,15.71,7.8,68.5,9.55,8.68,Optimized
llama3.2:latest,512,150,12.86,8.6,68.8,11.67,9.72,Optimized
llama3.2:latest,4096,1000,15.99,2.9,59.4,10.01,2.57,Unoptimized
llama3.2:latest,4096,1000,32.76,4.2,74.8,13.7,2.64,Unoptimized
llama3.2:latest,4096,1000,25.75,4.6,76.0,14.33,2.56,Unoptimized
llama3.2:latest,128,50,8.65,4.2,75.5,5.78,35.59,Optimized
llama3.2:latest,128,50,5.89,12.1,72.9,8.49,20.73,Optimized
llama3.2:latest,128,50,6.19,3.6,72.9,8.08,56.18,Optimized
llama3.2:latest,4096,1000,17.93,5.1,70.7,9.81,1.61,Unoptimized
llama3.2:latest,4096,1000,26.33,14.1,85.1,14.09,0.93,Unoptimized
llama3.2:latest,4096,1000,26.24,34.3,84.6,13.84,0.39,Unoptimized
phi3:latest,256,100,14.76,8.2,85.0,6.77,11.78,Optimized
llama3.2:latest,1024,256,22.7,5.1,93.7,10.26,6.73,Optimized
llama3.2:latest,512,256,22.48,3.0,86.2,11.39,22.78,Optimized
